RollNo,Name,Department,Section,Year
STU-166,Student_166,ECE,C,3
STU-167,Student_167,CSE,A,4
STU-168,Student_168,CSE,B,1
STU-169,Student_169,ECE,C,4
STU-170,Student_170,MECH,A,2
STU-171,Student_171,ECE,B,2
STU-172,Student_172,ECE,A,1
STU-173,Student_173,ECE,C,4
STU-174,Student_174,MECH,C,1
STU-175,Student_175,ECE,A,1
STU-176,Student_176,ECE,A,2
STU-177,Student_177,MECH,C,2
STU-178,Student_178,ECE,C,3
STU-179,Student_179,CSE,A,4
STU-180,Student_180,MECH,B,1
STU-181,Student_181,CSE,B,1
STU-182,Student_182,ECE,B,1
STU-183,Student_183,ECE,B,3
STU-184,Student_184,CSE,A,2
STU-185,Student_185,CSE,B,2
STU-186,Student_186,CSE,A,2
STU-187,Student_187,MECH,B,4
STU-188,Student_188,MECH,B,2
STU-189,Student_189,ECE,B,1
STU-190,Student_190,CSE,C,2
STU-191,Student_191,MECH,B,4
STU-192,Student_192,CSE,B,1
STU-193,Student_193,CSE,C,4
STU-194,Student_194,ECE,B,3
STU-195,Student_195,MECH,A,4
STU-196,Student_196,MECH,B,2
STU-197,Student_197,MECH,B,1
STU-198,Student_198,ECE,C,3
STU-199,Student_199,CSE,C,1
STU-200,Student_200,MECH,B,1
STU-201,Student_201,ECE,C,3
STU-202,Student_202,MECH,B,1
STU-203,Student_203,ECE,B,2
STU-204,Student_204,MECH,B,4
STU-205,Student_205,ECE,B,1
STU-206,Student_206,MECH,C,4
STU-207,Student_207,ECE,B,4
STU-208,Student_208,CSE,A,2
STU-209,Student_209,ECE,A,4
STU-210,Student_210,MECH,A,1
STU-211,Student_211,MECH,B,4
STU-212,Student_212,CSE,A,1
STU-213,Student_213,ECE,B,4
STU-214,Student_214,CSE,B,4
STU-215,Student_215,ECE,C,2
STU-216,Student_216,CSE,A,4
STU-217,Student_217,ECE,B,1
STU-218,Student_218,MECH,A,3
STU-219,Student_219,CSE,B,1
STU-220,Student_220,MECH,A,2
STU-221,Student_221,ECE,C,1
STU-222,Student_222,ECE,C,3
STU-223,Student_223,CSE,B,2
STU-224,Student_224,CSE,C,1
STU-225,Student_225,ECE,A,1
STU-226,Student_226,MECH,B,4
STU-227,Student_227,ECE,A,1
STU-228,Student_228,MECH,B,3
STU-229,Student_229,MECH,A,1
STU-230,Student_230,CSE,B,1
STU-231,Student_231,MECH,B,3
STU-232,Student_232,CSE,B,2
STU-233,Student_233,MECH,B,1
STU-234,Student_234,MECH,C,2
STU-235,Student_235,ECE,A,4
STU-236,Student_236,CSE,C,1
STU-237,Student_237,CSE,B,4
STU-238,Student_238,CSE,A,3
STU-239,Student_239,CSE,C,4
STU-240,Student_240,CSE,B,3
STU-241,Student_241,ECE,C,2
STU-242,Student_242,ECE,B,2
STU-243,Student_243,CSE,C,2
STU-244,Student_244,CSE,A,4
STU-245,Student_245,ECE,B,3
STU-246,Student_246,MECH,C,2
STU-247,Student_247,ECE,A,3
STU-248,Student_248,MECH,A,3
STU-249,Student_249,CSE,B,4
STU-250,Student_250,ECE,C,2
STU-251,Student_251,MECH,C,2
STU-252,Student_252,MECH,B,3
STU-253,Student_253,ECE,A,4
STU-254,Student_254,MECH,A,3
STU-255,Student_255,CSE,A,2
STU-256,Student_256,CSE,C,3
STU-257,Student_257,ECE,A,3
STU-258,Student_258,MECH,C,1
STU-259,Student_259,ECE,B,2
STU-260,Student_260,ECE,A,3
STU-261,Student_261,MECH,C,4
STU-262,Student_262,ECE,A,4
STU-263,Student_263,MECH,A,3
STU-264,Student_264,CSE,A,1
STU-265,Student_265,ECE,C,1
STU-266,Student_266,ECE,B,2
STU-267,Student_267,ECE,C,3
STU-268,Student_268,CSE,A,4
STU-269,Student_269,CSE,B,2
STU-270,Student_270,ECE,C,4
STU-271,Student_271,ECE,C,1
STU-272,Student_272,CSE,C,1
STU-273,Student_273,CSE,C,4
STU-274,Student_274,CSE,C,2
STU-275,Student_275,CSE,A,4
STU-276,Student_276,MECH,A,1
STU-277,Student_277,MECH,C,2
STU-278,Student_278,ECE,B,3
STU-279,Student_279,MECH,B,4
STU-280,Student_280,MECH,B,4
STU-281,Student_281,ECE,A,4
STU-282,Student_282,ECE,C,4
STU-283,Student_283,MECH,A,4
STU-284,Student_284,MECH,A,1
STU-285,Student_285,MECH,A,4
STU-286,Student_286,MECH,B,2
STU-287,Student_287,CSE,C,1
STU-288,Student_288,ECE,A,4
STU-289,Student_289,CSE,A,3
STU-290,Student_290,ECE,A,1
STU-291,Student_291,MECH,C,4
STU-292,Student_292,CSE,B,2
STU-293,Student_293,ECE,C,3
STU-294,Student_294,CSE,B,1
STU-295,Student_295,MECH,B,3
STU-296,Student_296,MECH,C,1
STU-297,Student_297,CSE,C,2
STU-298,Student_298,MECH,C,4
STU-299,Student_299,CSE,B,3
STU-300,Student_300,CSE,A,3
STU-301,Student_301,CSE,C,4
STU-302,Student_302,CSE,B,3
STU-303,Student_303,ECE,C,1
STU-304,Student_304,MECH,C,4
STU-305,Student_305,MECH,A,1
STU-306,Student_306,MECH,C,3
STU-307,Student_307,CSE,B,3
STU-308,Student_308,ECE,C,2
STU-309,Student_309,ECE,B,2
STU-310,Student_310,MECH,A,3
STU-311,Student_311,CSE,A,1
STU-312,Student_312,MECH,A,4
STU-313,Student_313,MECH,C,2
STU-314,Student_314,ECE,A,2
STU-315,Student_315,CSE,C,3
STU-316,Student_316,MECH,A,2
STU-317,Student_317,CSE,B,2
STU-318,Student_318,CSE,A,1
STU-319,Student_319,ECE,A,4
STU-320,Student_320,MECH,A,1
STU-321,Student_321,MECH,C,3
STU-322,Student_322,CSE,B,4
STU-323,Student_323,MECH,A,3
STU-324,Student_324,CSE,A,1
STU-325,Student_325,ECE,A,1
STU-326,Student_326,CSE,B,4
STU-327,Student_327,MECH,A,1
STU-328,Student_328,ECE,A,3
STU-329,Student_329,CSE,B,3
STU-330,Student_330,ECE,A,2
STU-331,Student_331,MECH,B,2
STU-332,Student_332,MECH,A,4
STU-333,Student_333,MECH,B,4
STU-334,Student_334,MECH,B,4
STU-335,Student_335,MECH,B,1
STU-336,Student_336,CSE,A,4
STU-337,Student_337,ECE,C,3
STU-338,Student_338,MECH,A,1
STU-339,Student_339,MECH,B,4
STU-340,Student_340,ECE,B,4
STU-341,Student_341,ECE,C,4
STU-342,Student_342,MECH,A,3
STU-343,Student_343,ECE,B,3
STU-344,Student_344,CSE,A,1
STU-345,Student_345,CSE,C,4
STU-346,Student_346,MECH,C,2
STU-347,Student_347,ECE,B,1
STU-348,Student_348,MECH,B,3
STU-349,Student_349,MECH,C,4
STU-350,Student_350,CSE,B,3
STU-351,Student_351,ECE,A,3
STU-352,Student_352,CSE,B,1
STU-353,Student_353,MECH,A,4
STU-354,Student_354,MECH,C,2
STU-355,Student_355,ECE,C,3
STU-356,Student_356,CSE,C,1
STU-357,Student_357,CSE,C,3
STU-358,Student_358,ECE,C,3
STU-359,Student_359,ECE,A,2
STU-360,Student_360,MECH,B,2
STU-361,Student_361,CSE,A,1
STU-362,Student_362,ECE,B,2
STU-363,Student_363,ECE,C,3
STU-364,Student_364,CSE,C,1
STU-365,Student_365,ECE,B,2
STU-366,Student_366,ECE,C,1
STU-367,Student_367,ECE,C,1
STU-368,Student_368,MECH,A,3
STU-369,Student_369,ECE,A,2
STU-370,Student_370,MECH,B,1
STU-371,Student_371,CSE,A,1
STU-372,Student_372,MECH,C,3
STU-373,Student_373,MECH,B,4
STU-374,Student_374,MECH,B,3
STU-375,Student_375,CSE,B,1
STU-376,Student_376,CSE,A,1
STU-377,Student_377,ECE,C,1
STU-378,Student_378,CSE,B,1
STU-379,Student_379,MECH,C,3
STU-380,Student_380,MECH,A,3
STU-381,Student_381,ECE,B,3
STU-382,Student_382,CSE,A,3
STU-383,Student_383,CSE,C,2
STU-384,Student_384,ECE,A,3
STU-385,Student_385,MECH,C,3
STU-386,Student_386,MECH,C,4
STU-387,Student_387,ECE,C,2
STU-388,Student_388,MECH,C,1
STU-389,Student_389,ECE,B,2
STU-390,Student_390,MECH,C,4
STU-391,Student_391,ECE,A,2
STU-392,Student_392,ECE,A,1
STU-393,Student_393,MECH,A,1
STU-394,Student_394,ECE,C,4
STU-395,Student_395,MECH,B,2
STU-396,Student_396,MECH,B,1
STU-397,Student_397,ECE,B,4
STU-398,Student_398,CSE,B,1
STU-399,Student_399,ECE,A,2
STU-400,Student_400,MECH,A,4
STU-401,Student_401,MECH,B,4
STU-402,Student_402,CSE,C,3
STU-403,Student_403,MECH,A,1
STU-404,Student_404,MECH,B,1
STU-405,Student_405,ECE,A,1
STU-406,Student_406,MECH,C,1
STU-407,Student_407,ECE,C,1
STU-408,Student_408,ECE,B,2
STU-409,Student_409,MECH,B,3
STU-410,Student_410,CSE,A,4
STU-411,Student_411,ECE,A,2
STU-412,Student_412,MECH,B,1
STU-413,Student_413,CSE,C,3
STU-414,Student_414,MECH,A,1
STU-415,Student_415,CSE,B,2
STU-416,Student_416,MECH,A,3
STU-417,Student_417,MECH,B,3
STU-418,Student_418,MECH,B,4
STU-419,Student_419,MECH,C,1
STU-420,Student_420,MECH,A,3
STU-421,Student_421,MECH,A,1
STU-422,Student_422,MECH,B,1
STU-423,Student_423,MECH,B,2
STU-424,Student_424,MECH,B,1
STU-425,Student_425,MECH,B,4
STU-426,Student_426,CSE,A,4
STU-427,Student_427,ECE,B,2
STU-428,Student_428,MECH,C,4
STU-429,Student_429,MECH,B,3
STU-430,Student_430,MECH,A,1
STU-431,Student_431,ECE,C,3
STU-432,Student_432,ECE,C,4
STU-433,Student_433,MECH,A,1
STU-434,Student_434,ECE,B,1
STU-435,Student_435,ECE,C,2
STU-436,Student_436,CSE,A,3
STU-437,Student_437,CSE,C,4
STU-438,Student_438,MECH,C,2
STU-439,Student_439,CSE,C,3
STU-440,Student_440,CSE,B,1
STU-441,Student_441,MECH,B,3
STU-442,Student_442,MECH,C,2
STU-443,Student_443,MECH,B,1
STU-444,Student_444,CSE,B,4
STU-445,Student_445,MECH,A,1
STU-446,Student_446,CSE,C,3
STU-447,Student_447,ECE,B,3
STU-448,Student_448,MECH,A,3
STU-449,Student_449,MECH,A,3
STU-450,Student_450,MECH,C,2
STU-451,Student_451,MECH,A,4
STU-452,Student_452,CSE,A,2
STU-453,Student_453,CSE,C,1
STU-454,Student_454,CSE,B,3
STU-455,Student_455,ECE,B,3
STU-456,Student_456,ECE,A,1
STU-457,Student_457,CSE,C,2
STU-458,Student_458,CSE,C,3
STU-459,Student_459,CSE,B,1
STU-460,Student_460,ECE,C,2
STU-461,Student_461,ECE,C,4
STU-462,Student_462,CSE,B,1
STU-463,Student_463,MECH,C,3
STU-464,Student_464,CSE,B,2
STU-465,Student_465,CSE,B,3
STU-466,Student_466,MECH,C,1
STU-467,Student_467,CSE,A,3
STU-468,Student_468,ECE,B,1
STU-469,Student_469,ECE,C,4
STU-470,Student_470,CSE,A,1
STU-471,Student_471,ECE,A,4
STU-472,Student_472,CSE,A,2
STU-473,Student_473,CSE,C,2
STU-474,Student_474,MECH,B,2
STU-475,Student_475,CSE,C,4
STU-476,Student_476,ECE,C,2
STU-477,Student_477,MECH,B,3
STU-478,Student_478,ECE,C,4
STU-479,Student_479,CSE,B,2
STU-480,Student_480,MECH,B,4
STU-481,Student_481,ECE,A,3
STU-482,Student_482,CSE,C,1
STU-483,Student_483,CSE,C,4
STU-484,Student_484,CSE,A,1
STU-485,Student_485,ECE,C,2
STU-486,Student_486,MECH,B,4
STU-487,Student_487,ECE,C,2
STU-488,Student_488,ECE,A,3
STU-489,Student_489,MECH,A,3
STU-490,Student_490,ECE,B,3
STU-491,Student_491,ECE,A,1
STU-492,Student_492,MECH,B,3
STU-493,Student_493,ECE,A,3
STU-494,Student_494,ECE,C,1
STU-495,Student_495,MECH,A,1
STU-496,Student_496,CSE,C,1
STU-497,Student_497,CSE,A,1
STU-498,Student_498,MECH,C,3
STU-499,Student_499,MECH,A,3
STU-500,Student_500,MECH,B,2
STU-501,Student_501,ECE,B,4
STU-502,Student_502,MECH,B,1
STU-503,Student_503,MECH,A,4
STU-504,Student_504,ECE,C,4
STU-505,Student_505,ECE,B,4
STU-506,Student_506,ECE,C,2
STU-507,Student_507,MECH,C,4
STU-508,Student_508,MECH,A,4
STU-509,Student_509,CSE,C,4
STU-510,Student_510,MECH,A,3
STU-511,Student_511,MECH,C,2
STU-512,Student_512,MECH,A,4
STU-513,Student_513,ECE,A,1
STU-514,Student_514,CSE,A,4
STU-515,Student_515,ECE,B,1
STU-516,Student_516,ECE,B,1
STU-517,Student_517,ECE,C,3
STU-518,Student_518,ECE,C,4
STU-519,Student_519,ECE,A,4
STU-520,Student_520,CSE,B,1
STU-521,Student_521,CSE,A,1
STU-522,Student_522,ECE,B,4
STU-523,Student_523,CSE,A,2
STU-524,Student_524,ECE,B,3
STU-525,Student_525,MECH,A,1
STU-526,Student_526,MECH,A,1
STU-527,Student_527,MECH,C,2
STU-528,Student_528,ECE,C,2
STU-529,Student_529,MECH,A,1
STU-530,Student_530,ECE,B,3
STU-531,Student_531,CSE,B,4
STU-532,Student_532,ECE,C,2
STU-533,Student_533,CSE,A,3
STU-534,Student_534,CSE,A,3
STU-535,Student_535,MECH,C,3
STU-536,Student_536,CSE,A,2
STU-537,Student_537,CSE,B,3
STU-538,Student_538,CSE,B,4
STU-539,Student_539,ECE,A,2
STU-540,Student_540,CSE,B,4
STU-541,Student_541,MECH,B,2
STU-542,Student_542,ECE,B,2
STU-543,Student_543,ECE,B,2
STU-544,Student_544,ECE,C,3
STU-545,Student_545,MECH,A,1
STU-546,Student_546,ECE,A,1
STU-547,Student_547,CSE,A,3
STU-548,Student_548,ECE,A,2
STU-549,Student_549,CSE,C,1
STU-550,Student_550,CSE,C,1
STU-551,Student_551,CSE,C,3
STU-552,Student_552,ECE,A,1
STU-553,Student_553,ECE,C,2
STU-554,Student_554,ECE,A,1
STU-555,Student_555,ECE,B,1
STU-556,Student_556,ECE,B,1
STU-557,Student_557,MECH,B,3
STU-558,Student_558,ECE,B,2
STU-559,Student_559,ECE,B,2
STU-560,Student_560,MECH,A,4
STU-561,Student_561,ECE,C,3
STU-562,Student_562,MECH,B,2
STU-563,Student_563,ECE,C,4
STU-564,Student_564,CSE,C,2
STU-565,Student_565,ECE,A,3
STU-566,Student_566,CSE,A,3
STU-567,Student_567,ECE,A,4
STU-568,Student_568,MECH,A,2
STU-569,Student_569,ECE,B,1
STU-570,Student_570,ECE,B,2
STU-571,Student_571,CSE,A,4
STU-572,Student_572,CSE,A,4
STU-573,Student_573,CSE,A,1
STU-574,Student_574,ECE,C,1
STU-575,Student_575,MECH,C,3
STU-576,Student_576,CSE,B,1
STU-577,Student_577,ECE,B,2
STU-578,Student_578,MECH,C,2
STU-579,Student_579,CSE,C,4
STU-580,Student_580,ECE,A,1
STU-581,Student_581,MECH,C,3
STU-582,Student_582,CSE,C,2
STU-583,Student_583,ECE,B,2
STU-584,Student_584,ECE,A,3
STU-585,Student_585,ECE,A,1
STU-586,Student_586,CSE,C,4
STU-587,Student_587,ECE,B,1
STU-588,Student_588,MECH,B,2
STU-589,Student_589,ECE,B,3
STU-590,Student_590,ECE,B,2
STU-591,Student_591,MECH,A,3
STU-592,Student_592,MECH,A,3
STU-593,Student_593,MECH,B,3
STU-594,Student_594,ECE,A,3
STU-595,Student_595,CSE,C,3
STU-596,Student_596,CSE,C,2
STU-597,Student_597,MECH,C,4
STU-598,Student_598,ECE,A,2
STU-599,Student_599,MECH,B,4
STU-600,Student_600,ECE,C,1
STU-601,Student_601,MECH,C,1
STU-602,Student_602,MECH,A,1
STU-603,Student_603,ECE,A,1
STU-604,Student_604,CSE,B,4
STU-605,Student_605,ECE,A,4
STU-606,Student_606,ECE,C,3
STU-607,Student_607,CSE,B,2
STU-608,Student_608,MECH,C,4
STU-609,Student_609,ECE,B,2
STU-610,Student_610,MECH,A,2
STU-611,Student_611,ECE,B,3
STU-612,Student_612,ECE,B,3
STU-613,Student_613,MECH,B,2
STU-614,Student_614,CSE,A,3
STU-615,Student_615,CSE,C,2
STU-616,Student_616,ECE,B,2
STU-617,Student_617,ECE,C,3
STU-618,Student_618,ECE,C,1
STU-619,Student_619,CSE,C,4
STU-620,Student_620,CSE,C,4
STU-621,Student_621,ECE,A,2
STU-622,Student_622,CSE,B,2
STU-623,Student_623,CSE,B,4
STU-624,Student_624,ECE,B,4
STU-625,Student_625,CSE,C,1
STU-626,Student_626,ECE,B,1
STU-627,Student_627,CSE,A,3
STU-628,Student_628,ECE,A,1
STU-629,Student_629,MECH,A,2
STU-630,Student_630,ECE,A,4
STU-631,Student_631,MECH,B,2
STU-632,Student_632,CSE,A,2
STU-633,Student_633,ECE,C,2
STU-634,Student_634,MECH,C,1
STU-635,Student_635,CSE,C,4
STU-636,Student_636,CSE,A,1
STU-637,Student_637,ECE,B,1
STU-638,Student_638,ECE,B,3
STU-639,Student_639,ECE,C,4
STU-640,Student_640,MECH,C,1
STU-641,Student_641,ECE,B,3
STU-642,Student_642,MECH,C,4
STU-643,Student_643,MECH,A,4
STU-644,Student_644,ECE,C,2
STU-645,Student_645,MECH,C,1
STU-646,Student_646,ECE,B,2
STU-647,Student_647,ECE,B,2
STU-648,Student_648,ECE,A,2
STU-649,Student_649,CSE,C,2
STU-650,Student_650,MECH,A,1
STU-651,Student_651,MECH,C,3
STU-652,Student_652,ECE,C,1
STU-653,Student_653,CSE,C,3
STU-654,Student_654,ECE,C,4
STU-655,Student_655,ECE,C,4
STU-656,Student_656,MECH,C,4
STU-657,Student_657,MECH,C,2
STU-658,Student_658,ECE,A,2
STU-659,Student_659,MECH,C,1
STU-660,Student_660,ECE,C,4
STU-661,Student_661,CSE,C,1
STU-662,Student_662,CSE,C,2
STU-663,Student_663,CSE,C,4
STU-664,Student_664,MECH,C,4
STU-665,Student_665,CSE,B,3
STU-666,Student_666,ECE,C,4
STU-667,Student_667,CSE,A,4
STU-668,Student_668,CSE,A,4
STU-669,Student_669,MECH,B,2
STU-670,Student_670,MECH,B,3
STU-671,Student_671,MECH,B,1
STU-672,Student_672,MECH,C,4
STU-673,Student_673,MECH,C,3
STU-674,Student_674,CSE,C,1
STU-675,Student_675,CSE,B,3
STU-676,Student_676,ECE,B,2
STU-677,Student_677,MECH,A,1
STU-678,Student_678,ECE,B,4
STU-679,Student_679,MECH,A,2
STU-680,Student_680,ECE,A,1
STU-681,Student_681,MECH,C,1
STU-682,Student_682,ECE,B,2
STU-683,Student_683,ECE,B,3
STU-684,Student_684,MECH,B,3
STU-685,Student_685,CSE,C,2
STU-686,Student_686,CSE,B,4
STU-687,Student_687,MECH,B,2
STU-688,Student_688,ECE,C,4
STU-689,Student_689,MECH,B,3
STU-690,Student_690,ECE,B,3
STU-691,Student_691,ECE,A,1
STU-692,Student_692,ECE,B,3
STU-693,Student_693,MECH,A,2
STU-694,Student_694,ECE,A,2
STU-695,Student_695,ECE,B,4
STU-696,Student_696,MECH,A,1
STU-697,Student_697,MECH,B,4
STU-698,Student_698,CSE,C,3
STU-699,Student_699,CSE,B,1
STU-700,Student_700,MECH,A,1
STU-701,Student_701,MECH,C,3
STU-702,Student_702,CSE,B,2
STU-703,Student_703,CSE,B,3
STU-704,Student_704,ECE,C,2
STU-705,Student_705,MECH,C,1
STU-706,Student_706,ECE,B,2
STU-707,Student_707,CSE,A,1
STU-708,Student_708,ECE,B,4
STU-709,Student_709,CSE,C,2
STU-710,Student_710,CSE,B,4
STU-711,Student_711,ECE,A,2
STU-712,Student_712,CSE,A,4
STU-713,Student_713,MECH,B,2
STU-714,Student_714,CSE,A,1
STU-715,Student_715,CSE,C,1
STU-716,Student_716,MECH,B,2
STU-717,Student_717,ECE,C,3
STU-718,Student_718,MECH,B,1
STU-719,Student_719,MECH,A,1
STU-720,Student_720,ECE,B,4
STU-721,Student_721,ECE,A,1
STU-722,Student_722,MECH,A,2
STU-723,Student_723,ECE,B,1
STU-724,Student_724,CSE,A,4
STU-725,Student_725,CSE,C,1
STU-726,Student_726,ECE,C,1
STU-727,Student_727,MECH,C,4
STU-728,Student_728,MECH,B,4
STU-729,Student_729,MECH,C,2
STU-730,Student_730,ECE,A,2
STU-731,Student_731,CSE,B,4
STU-732,Student_732,MECH,B,4
STU-733,Student_733,ECE,C,1
STU-734,Student_734,CSE,A,1
STU-735,Student_735,CSE,A,4
STU-736,Student_736,MECH,B,3
STU-737,Student_737,CSE,B,1
STU-738,Student_738,MECH,B,3
STU-739,Student_739,MECH,A,2
STU-740,Student_740,ECE,C,1
STU-741,Student_741,ECE,B,3
STU-742,Student_742,CSE,C,4
STU-743,Student_743,ECE,B,2
STU-744,Student_744,MECH,C,2
STU-745,Student_745,MECH,B,3
STU-746,Student_746,MECH,A,4
STU-747,Student_747,CSE,C,1
STU-748,Student_748,CSE,B,1
STU-749,Student_749,ECE,C,1
STU-750,Student_750,MECH,B,4
STU-751,Student_751,MECH,C,4
STU-752,Student_752,ECE,A,3
STU-753,Student_753,MECH,C,1
STU-754,Student_754,CSE,B,3
STU-755,Student_755,ECE,C,4
STU-756,Student_756,MECH,C,3
STU-757,Student_757,ECE,A,2
STU-758,Student_758,MECH,B,3
STU-759,Student_759,MECH,A,3
STU-760,Student_760,CSE,B,4
STU-761,Student_761,CSE,B,2
STU-762,Student_762,CSE,C,3
STU-763,Student_763,MECH,C,3
STU-764,Student_764,MECH,A,2
STU-765,Student_765,CSE,A,1
STU-766,Student_766,ECE,B,4
STU-767,Student_767,ECE,C,4
STU-768,Student_768,CSE,A,3
STU-769,Student_769,CSE,B,2
